Country,Jurisdiction,"Policy Category","Name of policy",Sector,"Energy Type",Stage,Mechanism,"Legislation and Endorsing Agency",Objectives,"Date of announcement","Date of entry info force",Currency,"Value committed","Value committed, USD","Value disbursed","Value disbursed, USD",Background,"Links to sources","Archived Links to sources"
Spain,Cantabria,"clean unconditional","Sectoral cluster aid: marine energy","Power generation","other renewable","several energy stages","budget or off-budget transfer (DT)","Order INN / 44/2020, of September 30","To contribute to economic activities that generate added value within the region.",30/09/2021,09/10/2021,EUR,47897,54677,0,0,"The Government of Cantabria, through the Regional Development Society (SODERCAN), has convened a line of aid aimed at different sectoral clusters to support their activity and improve their competitiveness. The total budget for this initiative is € 323,212, which has been distributed among the different productive sectors.
In the case of the marine energy sector, a total of € 47,897 has been awarded to the Sea of Innovation Cantabria.","https://boc.cantabria.es/boces/verAnuncioAction.do?idAnuBlob=354157 (Accessed 13 Jan 2022)
, https://ayudas.sodercan.es/ayudas/mVxaeDWYgmwMEQZMbyKw (Accessed 13 Jan 2022)
, https://www.sodercan.es/industria-apoya-a-los-clusteres-de-cantabria-con-ayudas-de-sodercan-que-suman-323-000-euros/ (Accessed 13 Jan 2022)",
Spain,Cantabria,"other energy","Sectoral cluster aid: nuclear sector","Power generation",nuclear,"several energy stages","budget or off-budget transfer (DT)","Order INN / 44/2020, of September 30","To contribute to economic activities that generate added value within the region.",30/09/2021,09/10/2021,EUR,26760,30548,0,0,"The Government of Cantabria, through the Regional Development Society (SODERCAN), has convened a line of aid aimed at different sectoral clusters to support their activity and improve their competitiveness. The total budget for this initiative is € 323,212, which has been distributed among the different productive sectors.
In the case of the nuclear sector, a total of € 26,760 has been awarded to the Nuclear Industry Cluster (CINC).","https://boc.cantabria.es/boces/verAnuncioAction.do?idAnuBlob=354157 (Accessed 13 Jan 2022)
, https://ayudas.sodercan.es/ayudas/mVxaeDWYgmwMEQZMbyKw (Accessed 13 Jan 2022)
, https://www.sodercan.es/industria-apoya-a-los-clusteres-de-cantabria-con-ayudas-de-sodercan-que-suman-323-000-euros/ (Accessed 13 Jan 2022)",
Spain,Cantabria,"fossil unconditional","Sectoral cluster aid: automotive sector",Mobility,"multiple energy types","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","Order INN / 44/2020, of September 30","To contribute to economic activities that generate added value within the region.",30/09/2021,09/10/2021,EUR,96199,109817,0,0,"The Government of Cantabria, through the Regional Development Society (SODERCAN), has convened a line of aid aimed at different sectoral clusters to support their activity and improve their competitiveness. The total budget for this initiative is € 323,212, which has been distributed among the different productive sectors.
In the case of the automotive sector, a total of € 96,199 has been awarded to the Group of Regional Automotive Initiatives (GIRA).","https://boc.cantabria.es/boces/verAnuncioAction.do?idAnuBlob=354157 (Accessed 13 Jan 2022)
, https://ayudas.sodercan.es/ayudas/mVxaeDWYgmwMEQZMbyKw (Accessed 13 Jan 2022)
, https://www.sodercan.es/industria-apoya-a-los-clusteres-de-cantabria-con-ayudas-de-sodercan-que-suman-323-000-euros/ (Accessed 13 Jan 2022)",
Spain,Navarra,"clean unconditional","Navarra Green Hydrogen Agenda","Power generation",hydrogen,"several energy stages","new or extended regulation (IT)","Navarra Green Hydrogen Agenda","Energy transition",17/09/2021,17/09/2021,EUR,0,0,0,0,"The Navarra Green Hydrogen Agenda is a roadmap to implement this resource in Navarra as an ""energy vector that will contribute to decarbonization"". The main objective of the agenda is the installation of 150MW of green hydrogen production by 2030 in Navarra, and the commitment that this energy source will replace 5% of industrial gas consumption by that same date.
For this, six lines of action are established: developing and promoting renewable energies as a basis for the production and export of green hydrogen; promote the development of the industrial value chain; promote innovation and technological development; promote production, distribution and consumption as an energy vector; facilitate the existence of an adequate regulatory and administrative framework and multiply the potential through networks and alliances.","https://www.navarra.es/es/noticias/2021/09/17/la-agenda-navarra-del-hidrogeno-verde-preve-la-instalacion-de-150mw-de-esta-energia-en-navarra-para-2030?pageBackId=363032&back=true (Accessed 12 Jan 2022)
, https://www.navarra.es/documents/48192/10503955/AGENDA+NAVARRA+DEL+HIDR%C3%93GENO+VERDE_210806.pdf/84fdeaa4-b9ad-0dde-e12b-c042c903a556?t=1631878933771 (Accessed 12 Jan 2022)",
Spain,Cataluña,"fossil unconditional","Subsidies to cover activities of road freight transport associations",Mobility,"multiple energy types","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","RESOLUTION VPD / 2598/2021, of August 3","Promotion of associations in the freight transport sector.",03/08/2021,03/08/2021,EUR,200000,228311,0,0,"These are subsidies intended to promote professional and business associations in the road freight transport sector in Catalonia and to improve the conditions for the development of its activity, through the granting of subsidies. This line of subsidies would be complemented by others (digitization, greening of fleets, etc.) that have been designed within the framework of the Action Plan for the freight transport and logistics sector 2020-2021.
The following actions may be subject to the subsidies regulated in these bases: 1. Carrying out studies and activities aimed at promoting and improving the conditions for carrying out the activity and socio-economic conditions in the sector, 2. Carrying out activities aimed at the promoting the internationalization of its associates and the participation and organization of fairs and competitions and 3. carrying out activities related to the promotion and dissemination of the initiatives or projects developed by the association.","https://web.gencat.cat/es/tramits/tramits-temes/Subvencions-per-a-activitats-dassociacions-de-transport-de-mercaderies-per-carretera?category=&temesNom=Mobilitat%20i%20transport (Accessed 11 Jan 2022)
, https://dogc.gencat.cat/es/document-del-dogc/index.html?documentId=905086 (Accessed 11 Jan 2022)
",
Spain,Cataluña,"fossil unconditional","Subsidies to cover operating expenses of road freight transport associations",Mobility,"multiple energy types","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","RESOLUTION VPD / 2186/2021, of July 8","Promotion of associations in the freight transport sector.",08/07/2021,08/07/2021,EUR,400000,456622,0,0,"These are subsidies intended to promote professional and business associations in the road freight transport sector in Catalonia and to improve the conditions for the development of its activity, through the granting of subsidies. This line of subsidies would be complemented by others (digitization, greening of fleets, etc.) that have been designed within the framework of the Action Plan for the freight transport and logistics sector 2020-2021.","https://web.gencat.cat/es/tramits/tramits-temes/Subvencions-per-cobrir-despeses-dexplotacio-dassociacions-de-transport-de-mercaderies-per-carretera?category=&temesNom=Mobilitat%20i%20transport (Accessed 11 January 2022)
, https://dogc.gencat.cat/es/document-del-dogc/index.html?documentId=906209 (Accessed 11 January 2022)
, https://dogc.gencat.cat/es/document-del-dogc/index.html?documentId=904165 (Accessed 11 January 2022)",
Spain,National,"clean conditional","Additional aid for Aragon, the Basque Country and Andalucia from the Government of Spain for energy diversification of SMEs and large industries","Multiple sectors","energy efficiency","energy efficiency","budget or off-budget transfer (DT)","Resolution of November 11, 2021, of the Institute for Energy Diversification and Saving, EPE","To improve energy savings and reduce company emissions, while companies reduce their costs and become more competitive.",11/11/2021,26/11/2021,EUR,100000000,114155252,0,0,"Aragon, the Basque Country and Andalucia will receive an additional 100 million euros (10 million € for Aragon, 40 million € for the Basque Country and 50 million € for Andalucia) from the Government of Spain to promote energy diversification of SMEs and large industries located in the region, as a part of the Aid Program for Energy Efficiency Actions for SMEs and large companies of the industry sector (Industria III), which was approved in 2019. The Institute for the Diversification and Saving of Energy (Idae), dependent on the Ministry for the Ecological Transition and the Demographic Challenge (Miteco), has agreed to this expansion of funds after Galicia and Navarra exhausted the initial budget for this purpose.
This program enables a wide variety of actions to be promoted to improve energy efficiency in industry, from more common investments to new innovative processes. Among them, actions of:
-Conversion of mercury cells to membrane for the manufacture of chlorine-soda
-Renewal of the steam and hot water production system
-Regulation of motors by electronic speed variators
-Replacing the existing low energy efficiency lighting system with a high energy efficiency LED system
-Improvement of boiler performance by replacement of burner and heat recovery
","https://www.boe.es/boe/dias/2021/11/25/pdfs/BOE-A-2021-19372.pdf (Accessed 11 Jan 2022)",
Spain,"Region de Murcia","clean conditional","Aid for regular interurban public transport services for road passengers (first call)",Mobility,"multiple energy types","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","Order of July 26, 2021 of the Ministry of Development and Infrastructures","To alleviate the economic losses caused by the mobility restriction measures in the public transport sector. ",26/07/2021,29/07/2021,EUR,4700000,5365297,0,0,"This extraordinary measure consists of the approval of a line of subsidies for the concessionaires of interurban regular public transport services for passengers by road for general use in the Region of Murcia. The subsidies are meant to alleviate the economic losses caused by the mobility restriction measures adopted by the Administration and the factual situation caused by COVID-19. In this first call, the losses caused in the period between June 22, 2020 and December 31, 2020 will be covered. The amount of this losses, in terms of eligible expenses, will be obtained by calculating the difference between costs and income from the concession referred to said period.","https://www.carm.es/web/pagina?IDCONTENIDO=111194&IDTIPO=10&RASTRO=c$m122,70 (Accessed 11 Jan 2022)
, https://www.borm.es/#/home/anuncio/28-07-2021/5077 (Accessed 11 Jan 2022)",
Spain,"Region de Murcia","clean conditional","Aid for regular interurban public transport services for road passengers (second call)",Mobility,"multiple energy types","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","Order of December 2, 2021 of the Ministry of Development and Infrastructures","To alleviate the economic losses caused by the mobility restriction measures in the public transport sector. ",02/12/2021,05/12/2021,EUR,3687500,4209475,0,0,"This extraordinary measure consists of the approval of a line of subsidies for the concessionaires of interurban regular public transport services for passengers by road for general use in the Region of Murcia. The subsidies are meant to alleviate the economic losses caused by the mobility restriction measures adopted by the Administration and the factual situation caused by COVID-19. In this second call, the losses caused in the period between January 1, 2021 and May 9, 2021 will be covered. The amount of this losses, in terms of eligible expenses, will be obtained by calculating the difference between costs and income from the concession referred to said period.","https://www.carm.es/web/pagina?IDCONTENIDO=111194&IDTIPO=10&RASTRO=c$m122,70 (Accessed 11 Jan 2022)
, https://www.borm.es/#/home/anuncio/04-12-2021/7327 (Accessed 11 Jan 2022)",
Spain,"Region de Murcia","other energy","Aid to replace currently used vehicles with more efficient ones",Mobility,"multiple energy types","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","Extract from the Order of October 6, 2021 of the Ministry of Companies, Employment, Universities and Spokesperson","To promote more sustainable mobility. ",06/10/2021,12/10/2021,EUR,200000,228311,0,0,"The objective of this call is to replace vehicles in circulation with a certain age, with less energy efficiency, by other more energy efficient vehicles, with mandatory scrapping of the replaced vehicle. Vehicles may be replaced by electric, hybrid, hydrogen, combustion, LPG, gasoline, diesel and natural gas vehicles.","https://mui.carm.es/web/mui/ayudas-sustitucion-vehiculos-en-circulacion-por-otros-mas-eficientes (Accessed 11 Jan 2022)
, https://www.borm.es/services/anuncio/ano/2021/numero/5621/pdf?id=796500 (Accessed 11 Jan 2022)
, https://www.borm.es/services/anuncio/ano/2021/numero/6170/pdf?id=797062 (Accessed 11 Jan 2022)
, https://www.carm.es/web/pagina?IDCONTENIDO=111697&IDTIPO=10&RASTRO=c$m122,70 (Accessed 11 Jan 2022)",
Spain,Extremadura,"other energy","Extremadura Energy and Climate Plan 2021-2030 (PEIEC)","Multiple sectors","multiple energy types","several energy stages","new or extended regulation (IT)","RESOLUTION of July 5, 2021, of the General Secretariat","To advance in the energy transition of the Extremadura economy, establishing a political, social and economic roadmap oriented towards climate neutrality in the region by 2030.",05/07/2021,15/07/2021,EUR,0,0,0,0,"The PEIEC incorporates the objectives established in the National Integrated Energy and Climate Plan 2021-2030 that the Council of Ministers of the Government of Spain sent to the European Commission. This Plan foresees a global investment in this period of 18,640 million euros, most of it private investment, the creation of some 87,950 jobs, the installation of 11,000 megawatts of renewable energy, most of it photovoltaic (8,000 MW) and solar thermoelectric (1,500 MW) and will leave 1,300 million euros of municipal public revenue.
The plan foresees actions throughout the Extremadura territory and will involve a deployment of technology in the field of renewables, greater electrification of demand and energy efficiency. It will also be an instrument for the definition of a reindustrialization roadmap in Spain. For this, PEIEC 2021-2030 establishes the actions to be implemented in Extremadura in the specific areas of mitigation, adaptation, research and innovation and social activation to face climate change in this decade.","http://www.juntaex.es/comunicacion/noticia?idPub=34075#.YdxNKWjMI2w (Accessed 10 Jan 2022)
, http://www.juntaex.es/comunicacion/noticia?idPub=33984#.YdxNM2jMI2w (Accessed 10 Jan 2022)
, http://www.juntaex.es/comunicacion/noticia?idPub=33918#.YdxNOWjMI2w (Accessed 10 Jan 2022)
, http://doe.juntaex.es/pdfs/doe/2021/1340o/21062181.pdf (Accessed 10 Jan 2022)",
Spain,National,"other energy","Royal Decree-Law 29/2021: adoption of emergency energy measures","Multiple sectors","multiple energy types","several energy stages","tax or royalty or govt fee break (GRF)","Royal Decree-Law 29/2021, of December 21","To eliminate regulatory barriers that prevent or hinder an accelerated deployment of electric mobility, self-consumption or innovative renewable energies.",21/12/2021,23/12/2021,EUR,0,0,0,0,"Through the Royal Decree 29/2021, of December 21, urgent measures in the energy field are approved, more specifically related to the protection of electricity consumers against increases in the price of electricity, others to promote electric mobility , self-consumption and the deployment of renewable energies.
1. Relief from the increase in electricity prices: throughout the first quarter of 2022 the reduction in rates and taxes on household electricity bills, in addition to the increase in aid to beneficiary families of the Social Electricity and Thermal Bonus, is extended.
2. Promotion of electric mobility: tax advantages for recharging infrastructures, the obligation to install recharging points in car parks that meet certain requirements, administrative changes for the installation of recharging points on state highways.
3. Promotion of Self-consumption: reduction of administrative obstacles, improvement of communication by distribution companies, updating of the sanctioning regime, extension of the possibility of carrying out shared self-consumption installations.
4. Processing of renewable plants: flexibility of the deadlines associated with the intermediate milestones of the processing of renewable energy projects.
5. Flexibility for the gas consuming industry: measures to make the contractual conditions of supply more flexible for gas consuming companies that have had to reduce their production due to high prices.
6. Other measures related to wind energy, energy storage, etc.

","https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-21096 (Accessed 10 Jan 2022)
, https://www.miteco.gob.es/es/prensa/ultimas-noticias/el-gobierno-mantiene-la-reducci%C3%B3n-fiscal-sobre-la-electricidad-para-proteger-a-los-consumidores/tcm:30-534344 (Accessed 10 Jan 2022)",
Spain,National,"other energy","Sustainable Automotive Technology Program (PTAS)",Mobility,"multiple energy types","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","Resolution of July 8, 2021 of the Presidency of the Center for Industrial Technological Development, E.P.E","Support the development of innovative capacities (R + D + I) and new technologies necessary for the creation and strengthening of the manufacturing ecosystem of electric and connected vehicles.",08/07/2021,13/07/2021,EUR,40000000,45662101,0,0,"The Sustainable Automotive Technology Program (PTAS) is an initiative that is part of the State Plan for Scientific, Technical and Innovation Research 2021-2023, of the PERTE of the Electric Vehicle (PERTE-VEC) and of the Component 17- Investment 8 of the Recovery, Transformation and Resilience Plan.
Within this program, incentives will be provided for the development of components and platforms for electric vehicles, plug-in hybrids and vehicles powered by hydrogen; autonomous driving and connected mobility; and adaptation of production environments with safe and robust systems for human-machine interaction in the intelligent manufacturing environment aimed at the manufacture of components and systems for electric vehicles, plug-in hybrid vehicles and vehicles powered by hydrogen.","https://www.cdti.es/index.asp?MP=100&MS=927&MN=2 (10-jan-2022)
, https://www.cdti.es/recursos/doc/Programas/Financiacion_CDTI/PTAS/4751_137137202184218.pdf (Accessed 10 Jan 2022)
, https://www.ciencia.gob.es/Noticias/2021/Julio/El-CDTI-lanza-la-convocatoria-del-Programa-Tecnologico-de-Automocion-Sostenible-con-40-millones-de-euros-en-subvenciones.html;jsessionid=FB75651CDDFE539B84E74A30A3E68BF2.2  (Accessed 10 Jan 2022)",
Spain,National,"other energy","Creation of the Iberian Center for Research in Energy Storage (share of investment financed by the national government)","Power generation","multiple energy types","exploration or production or processing or storage or transportation","budget or off-budget transfer (DT)","Resolution of December 22, 2021, of the General Secretariat for Research","Contribute to solving the scientific and technological challenges that allow the management of green energies, through scientific research, technological development and innovations in energy storage to satisfy industrial demands and the needs of society for a sustainable energy future.",22/12/2021,29/12/2021,EUR,57929000,66128996,0,0,"The Ministry of Science and Innovation has signed an agreement with the Center for Energy, Environmental and Technological Research (CIEMAT), the Junta de Extremadura and the Fundación Fundecyt-Parque Científico y Tecnológico de Extremadura to arrange for the creation of the Iberian Center for Research in Energy Storage.
The center will carry out its activity in three main areas: research and development of energy storage technologies and their integration with green energies; collaboration with the industrial sector and joint development of technologies; and advice and training in green energy and its management.
This project will be financed by the Ministry of Science, the Extremadura Board and the Extremadura Science and Technology Park. The  financing of the Ministry of Science will be a total of 57,929,000 euros and will come from own funds and Next Generation funds within the framework of Component 17- Investment 7 of the Recovery, Transformation and Resilience Plan.","https://www.lamoncloa.gob.es/temas/fondos-recuperacion/Documents/05052021-Componente17.pdf (Accessed 09 Jan 2022)
, https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/ciencia-e-innovacion/Paginas/2021/281221-centro-almacenamiento-energetico.aspx (Accessed 09 Jan 2022)
, https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-21632 (Accessed 09 Jan 2022)",
Spain,Extremadura,"other energy","Creation of the Iberian Center for Research in Energy Storage (share of investment financed by Extremadura local government)","Power generation","multiple energy types","exploration or production or processing or storage or transportation","budget or off-budget transfer (DT)","Resolution of December 22, 2021, of the General Secretariat for Research","To contribute to solving the scientific and technological challenges that allow the management of green energies, through scientific research, technological development and innovations in energy storage to satisfy industrial demands and the needs of society for a sustainable energy future.",22/12/2021,29/12/2021,EUR,15070344,17203590,0,0,"The Ministry of Science and Innovation has signed an agreement with the Center for Energy, Environmental and Technological Research (CIEMAT), the Junta de Extremadura and the Fundación Fundecyt-Parque Científico y Tecnológico de Extremadura to arrange for the creation of the Iberian Center for Research in Energy Storage.
The center will carry out its activity in three main areas: research and development of energy storage technologies and their integration with green energies; collaboration with the industrial sector and joint development of technologies; and advice and training in green energy and its management.
This project will be financed by the Ministry of Science, the Extremadura Board and the Extremadura Science and Technology Park. The  financing of Extremadura Board will be of 15,070,344 euros. ","https://www.lamoncloa.gob.es/temas/fondos-recuperacion/Documents/05052021-Componente17.pdf (Accessed 09 Jan 2022)
, https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/ciencia-e-innovacion/Paginas/2021/281221-centro-almacenamiento-energetico.aspx (09-jan-2022)
, https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-21632 (Accessed 09 Jan 2022)",
Philippines,National,"fossil unconditional","Cash grants to public utility vehicle drivers",Mobility,"multiple fossil","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)",Government,"The government has committed to transfer P1 billion to the Land Transportation Franchising and Regulatory Board (LTFRB) for cash grants to public utility vehicle (PUV) drivers hurting from soaring fuel prices.",26/10/2021,26/10/2021,PHP,1000000000,20408164,0,0,"The government has committed to transfer P1 billion to the Land Transportation Franchising and Regulatory Board (LTFRB) for cash grants to public utility vehicle (PUV) drivers (136,000 jeepney drivers) hurting from soaring fuel prices.",,"https://www.philstar.com/headlines/2021/10/26/2136681/economic-managers-ok-p1-billion-fuel-subsidy (17th Feb 2022)

, https://www.cnnphilippines.com/news/2021/11/24/Govt-starts-fuel-subsidy-distribution-jeepney-drivers-.html (17th Feb 2022)
"
Philippines,National,"clean unconditional","Guideline for new/existing buildings to install solar and wind energy technologies",Buildings,"multiple renewable","energy use (all energy types, consumption in transport, household use, buildings etc)",uncategorized,"Department of Energy","Aims to promote the energy- conserving design of buildings and their services and boost the demand for energy-efficient materials and technologies.",20/02/2021,20/02/2021,PHP,0,0,0,0,"New and existing buildings are now required to use solar photovoltaic (PV) and other renewable energy (RE) technologies with the Department of Energy’s (DOE) issuance of a policy on the adoption of the guidelines on the energy-conserving design of buildings.",https://www.pna.gov.ph/articles/1131318,https://mercomindia.com/philippines-promotes-use-solar-energy/
Philippines,National,"other energy","MoU with Australia-based research company to explore potential of Hydrogen as an energy source","Multiple sectors",hydrogen,"several energy stages",uncategorized,"Department of Energy","Explore potential of Hydrogen as a fuel  as well as the role that it can play in the economy of the Philippines as a whole, which is heavily dependent on imported coal and oil.",27/01/2021,27/01/2021,PHP,0,0,0,0,"The Department of Energy (DOE) signed a Memorandum of Understanding (MOU) with Australia-based research and development company Star Scientific Ltd. to explore the potential of hydrogen as one of the country’s energy sources.",https://www.doe.gov.ph/press-releases/doe-signs-mou-start-scientific-research-hydrogen-potential-ph,
Philippines,National,"other energy","Creation of Hydrogen and Fusion Energy Committee","Multiple sectors",hydrogen,"several energy stages",uncategorized,"Department of Energy",,08/04/2021,08/04/2021,PHP,0,0,0,0,,https://www.doe.gov.ph/press-releases/cusi-pushes-rd-hydrogen-energy,
Philippines,National,"other energy","MoU with Japan-based research company to explore potential of Hydrogen for power generation","Power generation",hydrogen,"electricity generation",uncategorized,"Department of Energy","Explore potential of Hydrogen as a fuel  as well as the role that it can play in the economy of the Philippines as a whole, which is heavily dependent on imported coal and oil.",08/04/2021,08/04/2021,PHP,0,0,0,0,"The Department of Energy signed a Memorandum of Understanding with Tokyo-based Hydrogen Technology Inc. to explore the use of hydrogen as a fuel for power generation.",https://www.doe.gov.ph/press-releases/cusi-pushes-rd-hydrogen-energy,
Philippines,National,"clean unconditional","Opening for 100% foreign ownership in the geothermal sector","Power generation","other renewable","electricity generation",uncategorized,"Government of Phillipines, Department of Energy","Increase energy resiliency in the system",27/10/2020,20/10/2020,PHP,0,0,0,0,"Energy secretary Cusi has signed a Department Circular for opening the geothermal sector to 100% foreign investment for large scale exploration, development, and utilization projects, starting at cost of 50 million USD. Investors have to apply according to the guidelines for the third Open and Competitive Selection Process (OCSP3) in the awarding process of RE Service Contracts. ","https://web.archive.org/web/20201104065644/, https://www.doe.gov.ph/press-releases/doe-statement-allowing-foreign-investors-100-ownership-large-scale-geothermal-0?ckattempt=1; , https://youtu.be/XHWDc1VDvg4?t=3288","https://web.archive.org/web/20201103201046/, https://www.climatechangenews.com/2020/10/28/philippines-declares-moratorium-new-coal-power-plants/"
Spain,National,"clean conditional","Plan MOVES Flotas",Mobility,"multiple energy types","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","Order TED / 1427/2021, of December 17, within the framework of the Recovery, Transformation and Resilience Plan .","To promote electric mobility in such a way as to decarbonise the Spanish economy and develop a sustainable mobility system.",17/12/2021,23/12/2021,EUR,50000000,57077626,0,0,"The Aid Program for electrification projects for fleets of light vehicles, also known as the MOVES FLEETS Program, is endowed with an initial amount of 50 million euros and aimed at the selection and concession, in a competitive competition regime, of aid corresponding to projects of electrification of light vehicle fleets, carried out in the national territory.
The MOVES FLOTAS Program, managed by the Institute for Energy Diversification and Saving (IDAE), is part of the Recovery, Transformation and Resilience Plan (Component 1, Investment 2) and complements other Programs already published within the framework of the aforementioned Component and investment such as MOVES III and MOVES Singulares II.
The projects may include, not only the acquisition of electric vehicles that replace combustion vehicles, but also the provision of the recharging infrastructure necessary for the new fleet at the company's facilities, as well as the acquisition or adaptation of management systems of fleets, to, among others, digitize the control of routes, as well as training of company personnel in order to make a transition of the fleet towards electrification.","https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/transicion-ecologica/Paginas/2021/221221-prtr-moves.aspx (Accessed 09 December 2021)
, https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-21196 (Accessed 09 December 2021)
, https://www.idae.es/ayudas-y-financiacion/para-movilidad-y-vehiculos/programa-moves-flotas (Accessed 09 December 2021)",
Spain,"Comunidad Valenciana","clean unconditional","Agreement between the Valencian government and Power Electrics.: Hybrid Photovoltaic Plant with Storage System based on lithium-ion batteries","Power generation",solar,"exploration or production or processing or storage or transportation","budget or off-budget transfer (DT)","Department of Sustainable Economy, Productive Sector, Commerce and Labor of the Generalitat Valenciana","To contribute to the improvement of competitiveness, industrial efficiency, sustainability, and a substantial improvement of photovoltaics systems.",14/09/2021,14/09/2021,EUR,1000000,1141553,0,0,"This agreement represents an investment of 1 million euros to support Power Electrics in the construction of a Hybrid Photovoltaic Plant with Storage System based on lithium-ion batteries. A rooftop photovoltaic plant will be developed with inverters prepared for hybrid systems with DC coupling and Power Plant Controller with the capacity to manage hybrid plants, and linked to the strategic energy storage project.","https://cindi.gva.es/documents/161328133/174192103/2021.09.14.+Resol+CONCESION+DIRECTA+AYUDA+S0563_v6_firmado.pdf/63619c6c-51e0-42e5-956d-10c220cc89ac (Accessed 30 December 2021)",
Spain,"Comunidad Valenciana","fossil unconditional","Agreement between the Valencian government and Ford España S. L.: support to productive activity in the face of serious damage economic losses during the pandemic",Mobility,"multiple energy types","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","Department of Sustainable Economy, Productive Sector, Commerce and Labor of the Generalitat Valenciana","To contribute to the improvement of competitiveness, industrial efficiency, sustainability, and a substantial improvement of the automotive sector.",30/08/2021,31/08/2021,EUR,800000,913243,0,0,"This agreement represents an investment of 800,000 euros to support Ford España S.L. 's  productive activity in the face of serious damage economic losses during the pandemic. ","https://www.ford.es/content/dam/guxeu/es/documents/acerca-de-ford/sobre-nosotros/portal-de-transparencia/Convenios_subvenciones_y_ayudas.pdf (Accessed 3o December 2021) 
, https://cindi.gva.es/documents/161328133/174393498/2021.08.02.+Resoluci%C3%B3n+S0562+Ford+Covid+cast_firmado.pdf/4e440492-d948-43a2-a08f-d45285aa2d54 (Accessed 3o December 2021) ",
Spain,"Comunidad Valenciana","fossil conditional","Agreement between the Valencian government and Ford España S. L.: experimental development and innovation in the automotive sector",Mobility,"multiple energy types","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","Department of Sustainable Economy, Productive Sector, Commerce and Labor of the Generalitat Valenciana","To contribute to the improvement of competitiveness, industrial efficiency, sustainability, and a substantial improvement of the automotive sector.",23/07/2021,13/09/2021,EUR,3800000,4337900,0,0,"This agreement represents an investment of 3.8 million euros to support Ford España S.L. 's sustainable productive investments and experimental development and innovation projects in the automotive sector for the year 2021. Specifically, the actions to be carried out will be: vehicle prototypes to incorporate hybrid technology and improve emissions; Prototypes of a new CX482 vehicle; a new innovative process and prototypes of electric batteries for vehicles; prototype of a new engine variant; and new automation technologies for substantial improvement in vehicle and engine production processes. In addition, the agreement contemplates innovative actions with an impact on companies and SMEs in the Valencian Community and the development of an intelligent system for the automation of production, logistics and maintenance of the production lines of the assembly plant.","https://www.ford.es/content/dam/guxeu/es/documents/acerca-de-ford/sobre-nosotros/portal-de-transparencia/Convenios_subvenciones_y_ayudas.pdf (Accessed 30 December 2021)
, https://www.gva.es/es/inicio/area_de_prensa/not_detalle_area_prensa?id=969259 (Accessed 30 December 2021)
, https://cindi.gva.es/documents/161328133/174288963/Conveni+Ford+I%2BD+Inversions+2021+valenc.+signat.pdf/c6eebc37-8026-4c33-bb32-bfaf2721a104 (Accessed 30 December 2021)",
Spain,"Comunidad Valenciana","clean unconditional","Energy efficiency improvement (City of Justice building, Valencia)",Buildings,"energy efficiency","energy efficiency","budget or off-budget transfer (DT)","Ministry of Justice, Interior and Public Administration of the Generalitat Valenciana","To improve energy efficiency un public buildings.",24/08/2020,20/07/2021,EUR,1562470,1783642,0,0,"This work is part of the Plan of the Department of Justice, Interior and Public Administration to improve energy efficiency in the judicial headquarters of the Valencian Community. It is estimated that between 2020 and 2021, around 36 proceedings have been carried out in 14 court seats,.
These actions are co-financed by the Jessica program of the European Union and the ERDF funds.","https://cjusticia.gva.es/es/inicio/area_de_prensa/not_detalle_area_prensa?id=951437 (Accessed 28 December 2021)
, https://contrataciondelestado.es/wps/portal/!ut/p/b1/hZBLC4JAFIV_kdzrqGMufY6KpvkqZyNCJgOpm4jo16dCm0C7uwPfOedygEOto65RBQ24AB_bp-jbh5jG9g41cK43ZuWezMBQkGWpi8TKdKp6ySwRqqF9iUG8uysUUEdLAKeN6ia27fkED7niIImcsqT-IskM1DOAG2fi6t8qxK9fU2y1CquU5gFDDHzPiUpZQ0boP_8Z-IrsJazA3ov7JQhHfxq63_ESK5u3CNO4SBmREemyWAwDFxLPbnkgsf4DjXG5Hw!!/ (Accessed 28 December 2021)
, https://www.gva.es/es/inicio/area_de_prensa/not_detalle_area_prensa?id=844076 (Accessed 28 December 2021)",
